stock,top5_buyers,top5_sellers,net_volume,daily_summary
PSDN,"• YP | 2.1k | 24.80mio | Avg: 117 | Mix
• DR | 2.1k | 23.31mio | Avg: 111 | Retail
• XC | 715 | 8.51mio | Avg: 119 | Retail
• PD | 369 | 4.39mio | Avg: 119 | Mix
• BK | 158 | 1.93mio | Bandar","• YB | 3.5k | 37.82mio | Avg: 109 | Retail
• XA | 1.0k | 10.60mio | Avg: 106 | Bandar
• AK | 747 | 8.67mio | Avg: 116 | Bandar
• CC | 598 | 6.82mio | Avg: 114 | Mix
• TP | 236 | 2.93mio | Avg: 124 | Bandar",-589,"Buyer: Retail 52%, Seller: Retail 57%"
PSKT,"• OD | 67.0k | 1.71bio | Avg: 255 | Bandar
• YP | 29.4k | 781.59mio | Avg: 266 | Mix
• CP | 28.0k | 734.49mio | Avg: 262 | Mix
• YJ | 18.0k | 527.40mio | Avg: 293 | Retail
• DH | 12.4k | 329.77mio | Avg: 265 | Bandar","• XC | 51.1k | 1.33bio | Avg: 261 | Retail
• YB | 43.1k | 1.11bio | Avg: 258 | Retail
• AZ | 24.8k | 667.20mio | Avg: 269 | Retail
• KK | 22.5k | 602.92mio | Avg: 268 | Bandar
• NI | 14.5k | 396.67mio | Avg: 273 | Bandar",-1198,"Buyer: Bandar 51%, Seller: Retail 76%"
PTBA,"• NI | 13.0k | 3.13bio | Avg: 2.405 | Bandar
• BK | 12.7k | 2.98bio | Avg: 2.352 | Bandar
• YU | 10.1k | 2.40bio | Avg: 2.372 | Bandar
• AK | 6.7k | 1.57bio | Avg: 2.344 | Bandar
• CC | 5.5k | 1.30bio | Avg: 2.346 | Mix","• FO | 12.7k | 3.08bio | Avg: 2.424 | Bandar
• DX | 11.8k | 2.76bio | Avg: 2.332 | Bandar
• RF | 6.0k | 1.38bio | Avg: 2.300 | Bandar
• GR | 4.0k | 945.93mio | Avg: 2.342 | Bandar
• XC | 3.2k | 762.80mio | Avg: 2.366 | Retail",10282,"Buyer: Bandar 88%, Seller: Bandar 91%"
RBMS,"• YP | 37.6k | 176.64mio | Avg: 47 | Mix
• AZ | 9.8k | 45.01mio | Avg: 46 | Retail
• PD | 530 | 2.44mio | Avg: 46 | Mix","• BS | 24.3k | 111.73mio | Avg: 46 | Mix
• XL | 22.6k | 104.14mio | Avg: 46 | Retail
• MU | 1.9k | 9.53mio | Avg: 51 | Bandar",-899,"Buyer: Mix 80%, Seller: Mix 50%"
RUIS,"• EP | 3.2k | 67.95mio | Avg: 212 | Mix
• YP | 1.9k | 44.11mio | Avg: 227 | Mix
• PC | 1.8k | 40.32mio | Avg: 224 | Bandar
• AK | 1.0k | 23.30mio | Avg: 230 | Bandar
• LG | 701 | 16.54mio | Avg: 236 | Bandar","• GR | 2.1k | 47.81mio | Avg: 223 | Bandar
• YB | 1.7k | 37.59mio | Avg: 221 | Retail
• XL | 1.4k | 30.25mio | Avg: 220 | Retail
• XA | 1.2k | 27.98mio | Avg: 228 | Bandar
• YU | 1.2k | 26.16mio | Avg: 218 | Bandar",1015,"Buyer: Mix 59%, Seller: Bandar 60%"
SCCO,"• XL | 332 | 78.45mio | Avg: 2.363 | Retail
• PD | 296 | 69.94mio | Avg: 2.363 | Mix","• CC | 291 | 68.71mio | Avg: 2.361 | Mix
• XC | 171 | 40.70mio | Avg: 2.380 | Retail
• AO | 12 | 3.10mio | Avg: 2.580 | Bandar",154,"Buyer: Retail 53%, Seller: Mix 61%"
SGRO,"• AO | 18.1k | 14.07bio | Avg: 7.775 | Bandar
• SA | 13.5k | 10.46bio | Avg: 7.757 | Bandar
• YJ | 5.0k | 3.87bio | Avg: 7.775 | Retail
• KZ | 4.4k | 3.38bio | Avg: 7.767 | Mix
• AZ | 855 | 664.76mio | Avg: 7.775 | Retail","• SQ | 9.6k | 7.44bio | Avg: 7.747 | Bandar
• XL | 7.6k | 5.92bio | Avg: 7.769 | Retail
• AK | 5.1k | 3.99bio | Avg: 7.775 | Bandar
• PD | 3.7k | 2.89bio | Avg: 7.774 | Mix
• MG | 3.7k | 2.85bio | Avg: 7.776 | Mix",12049,"Buyer: Bandar 76%, Seller: Bandar 50%"
SMAR,"• QA | 654 | 360.09mio | Avg: 5.506 | Bandar
• LG | 499 | 274.05mio | Avg: 5.492 | Bandar
• YP | 305 | 156.19mio | Avg: 5.121 | Mix
• XL | 136 | 72.56mio | Avg: 5.335 | Retail
• HP | 102 | 52.52mio | Avg: 5.149 | Bandar","• GR | 421 | 224.06mio | Avg: 5.322 | Bandar
• CP | 297 | 162.13mio | Avg: 5.459 | Mix
• AI | 321 | 160.53mio | Avg: 5.001 | Bandar
• DX | 340 | 157.22mio | Avg: 4.624 | Bandar
• PD | 162 | 86.61mio | Avg: 5.346 | Mix",155,"Buyer: Bandar 74%, Seller: Bandar 70%"
SMRA,"• KI | 379.6k | 14.05bio | Avg: 370 | Bandar
• CC | 32.8k | 1.23bio | Avg: 374 | Mix
• AK | 20.6k | 769.99mio | Avg: 374 | Bandar
• CP | 6.8k | 258.93mio | Avg: 380 | Mix
• XA | 6.1k | 231.57mio | Avg: 379 | Bandar","• YP | 88.2k | 3.31bio | Avg: 375 | Mix
• PD | 58.4k | 2.21bio | Avg: 378 | Mix
• XL | 48.8k | 1.82bio | Avg: 373 | Retail
• SQ | 48.0k | 1.80bio | Avg: 374 | Bandar
• AG | 45.4k | 1.71bio | Avg: 377 | Bandar",157110,"Buyer: Bandar 91%, Seller: Mix 51%"
SRTG,"• XL | 85.8k | 14.45bio | Avg: 1.683 | Retail
• CC | 41.9k | 6.98bio | Avg: 1.666 | Mix
• CP | 27.0k | 4.27bio | Avg: 1.583 | Mix
• PD | 17.4k | 2.88bio | Avg: 1.650 | Mix
• XC | 7.7k | 1.27bio | Avg: 1.648 | Retail","• YU | 73.4k | 11.46bio | Avg: 1.562 | Bandar
• KZ | 53.0k | 8.63bio | Avg: 1.627 | Mix
• AZ | 37.5k | 6.26bio | Avg: 1.667 | Retail
• AI | 22.8k | 3.81bio | Avg: 1.671 | Bandar
• TP | 5.4k | 885.39mio | Avg: 1.654 | Bandar",-12186,"Buyer: Retail 52%, Seller: Bandar 53%"
